Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F1,1,PSO-RS,6,20360435,20973.50490195864,100.0,20873.50490195864,1651,10324,7.747352600097656,300000
F1,1,PSO-RS,4,20360433,442.0793070352631,100.0,342.07930703526307,1656,10384,7.793291568756103,300000
F1,1,PSO-RS,3,20360432,5691.457840402652,100.0,5591.457840402652,1633,10265,7.845429420471191,300000
F1,1,PSO-RS,7,20360436,363.2507938517565,100.0,263.25079385175644,1647,10340,7.664794206619263,300000
F1,1,PSO-RS,1,20360430,5649.456194217916,100.0,5549.456194217916,1665,10376,8.221774339675903,300000
F1,1,PSO-RS,5,20360434,5640.018822900823,100.0,5540.018822900823,1644,10300,8.202929019927979,300000
F1,1,PSO-RS,2,20360431,4059.891176835281,100.0,3959.891176835281,1690,10577,8.270376920700073,300000
F1,1,PSO-RS,8,20360437,20994.227684499256,100.0,20894.227684499256,1662,10405,8.153550148010254,300000
F1,1,PSO-RS,9,20360438,20958.09528592406,100.0,20858.09528592406,1642,10295,5.946600914001465,300000
F1,1,PSO-RS,10,20360439,21010.798612426446,100.0,20910.798612426446,1667,10304,5.945128679275513,300000
F1,1,PSO-RS,13,20360442,5660.254529267387,100.0,5560.254529267387,1664,10433,5.886143445968628,300000
F1,1,PSO-RS,15,20360444,21060.727332212173,100.0,20960.727332212173,1670,10472,5.92893648147583,300000
F1,1,PSO-RS,12,20360441,20998.74228541615,100.0,20898.74228541615,1635,10266,6.5486931800842285,300000
F1,1,PSO-RS,11,20360440,21005.324296513907,100.0,20905.324296513907,1661,10415,6.755483627319336,300000
F1,1,PSO-RS,14,20360443,1309.5438238333847,100.0,1209.5438238333847,1645,10330,6.504600763320923,300000
F1,1,PSO-RS,16,20360445,1101.0802898007184,100.0,1001.0802898007184,1676,10515,6.670770406723023,300000
F1,1,PSO-RS,17,20360446,4803.837446266255,100.0,4703.837446266255,1664,10421,6.174982309341431,300000
F1,1,PSO-RS,18,20360447,20981.833409212417,100.0,20881.833409212417,1660,10393,6.232292890548706,300000
F1,1,PSO-RS,19,20360448,149.15099504164195,100.0,49.15099504164195,1659,10402,6.193778038024902,300000
F1,1,PSO-RS,21,20360450,5613.221480809803,100.0,5513.221480809803,1635,10284,6.165764093399048,300000
F1,1,PSO-RS,20,20360449,242.55489361753857,100.0,142.55489361753857,1635,10261,6.683990955352783,300000
F1,1,PSO-RS,23,20360452,942.2204888586834,100.0,842.2204888586834,1644,10324,6.704921722412109,300000
F1,1,PSO-RS,22,20360451,5849.952362504416,100.0,5749.952362504416,1661,10450,6.891699552536011,300000
F1,1,PSO-RS,24,20360453,470.80495582933776,100.0,370.80495582933776,1659,10390,6.49713659286499,300000
F1,1,PSO-RS,26,20360455,384.8113616983684,100.0,284.8113616983684,1664,10421,6.066187381744385,300000
F1,1,PSO-RS,25,20360454,241848262.53513396,100.0,241848162.53513396,1643,10403,6.248129606246948,300000
F1,1,PSO-RS,27,20360456,1287.822045234715,100.0,1187.822045234715,1618,10200,6.422037601470947,300000
F1,1,PSO-RS,28,20360457,880.1419621281536,100.0,780.1419621281536,1666,10404,6.257424831390381,300000
F1,1,PSO-RS,29,20360458,5630.85788273486,100.0,5530.85788273486,1642,10283,6.979484558105469,300000
F1,1,PSO-RS,30,20360459,21128.71717214653,100.0,21028.71717214653,1648,10332,6.654771566390991,300000
F1,1,ARPSO-Fixed,2,20361431,5590.376723096748,100.0,5490.376723096748,1753,17530,7.152798891067505,300000
F1,1,ARPSO-Fixed,1,20361430,5590.376544446879,100.0,5490.376544446879,1736,17360,7.516934633255005,300000
F1,1,ARPSO-Fixed,3,20361432,5590.376573836249,100.0,5490.376573836249,1759,17590,7.408633947372436,300000
F1,1,ARPSO-Fixed,4,20361433,3737.969579659616,100.0,3637.969579659616,1796,17960,7.338167905807495,300000
F1,1,ARPSO-Fixed,5,20361434,20941.76710871807,100.0,20841.76710871807,1754,17540,7.068361759185791,300000
F1,1,ARPSO-Fixed,6,20361435,20941.76721741244,100.0,20841.76721741244,1754,17540,7.035496234893799,300000
F1,1,ARPSO-Fixed,7,20361436,103.42950965914268,100.0,3.429509659142681,1771,17710,6.746588468551636,300000
F1,1,ARPSO-Fixed,8,20361437,248.1558270411389,100.0,148.1558270411389,1781,17810,6.750211000442505,300000
F1,1,ARPSO-Fixed,9,20361438,5590.376644078452,100.0,5490.376644078452,1746,17460,7.13703179359436,300000
F1,1,ARPSO-Fixed,10,20361439,20941.767103211834,100.0,20841.767103211834,1748,17480,7.04806113243103,300000
F1,1,ARPSO-Fixed,11,20361440,5590.376564605158,100.0,5490.376564605158,1734,17340,7.31087589263916,300000
F1,1,ARPSO-Fixed,12,20361441,933.4232429136664,100.0,833.4232429136665,1758,17580,7.424793481826782,300000
F1,1,ARPSO-Fixed,13,20361442,109.59797506983772,100.0,9.59797506983773,1773,17730,7.261260509490967,300000
F1,1,ARPSO-Fixed,14,20361443,20941.76715192947,100.0,20841.76715192947,1767,17670,7.302477836608887,300000
F1,1,ARPSO-Fixed,16,20361445,20941.76713749816,100.0,20841.76713749816,1779,17790,7.04750919342041,300000
F1,1,ARPSO-Fixed,15,20361444,5590.3767490575065,100.0,5490.3767490575065,1764,17640,7.378606081008911,300000
F1,1,ARPSO-Fixed,17,20361446,12353.404863606467,100.0,12253.404863606467,1767,17670,6.815804719924927,300000
F1,1,ARPSO-Fixed,18,20361447,2423.5052211117227,100.0,2323.5052211117227,1787,17870,7.340261936187744,300000
F1,1,ARPSO-Fixed,19,20361448,20941.76714059963,100.0,20841.76714059963,1758,17580,6.452946662902832,300000
F1,1,ARPSO-Fixed,21,20361450,6156.584744703408,100.0,6056.584744703408,1782,17820,6.4461829662323,300000
